Complaint,DateOccur,Crime,Description,ILEADSAddress,ILEADSStreet,Generic Crime,Latitude,Longitude
20-055144,8/31/2020 7:43,264100,HEALTH-SANITATION VIOL                            ,443,20TH,Other Crime,38.6270025,-90.1994042
20-056514,8/31/2020 8:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,5461,DELMAR,Motor Vehicle Theft,38.6513457,-90.2605364
20-056880,9/1/2020 7:00,117000,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,865,WALL,Other Crime,38.6270025,-90.1994042
20-058304,9/1/2020 20:00,69602,"LARCENY-ALL OTHER $500 - $24,999                  ",8501,MORA,Larceny,38.7178219,-90.2479002
20-058230,9/2/2020 7:00,264100,HEALTH-SANITATION VIOL                            ,363,PHILLIPS,Other Crime,38.6270025,-90.1994042
20-055125,9/4/2020 14:49,51111,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED         ,576,VIVIAN,Burglary,38.7101408,-90.2479025
20-040150,9/4/2020 21:16,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",394,GARFIELD AVE,Other Crime,38.6561185,-90.237034
20-056257,9/10/2020 10:00,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",56,LOUIS,Larceny,38.6546572,-90.2537968
20-055149,9/13/2020 0:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3719,WISCONSIN,Destruction of Property,38.5922574,-90.2210113
20-041963,9/15/2020 21:45,21000,RAPE -- FORCIBLE                                  ,nan,CLARA AVE / PAGE BLVD,Rape,38.66499,-90.2796679
02-042048,9/16/2020 12:44,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,2625,LOUISIANA,Simple Assault,38.5896272,-90.2402664
02-042048,9/16/2020 12:44,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,2625,LOUISIANA,Aggravated Assault,38.5896272,-90.2402664
20-042231,9/17/2020 13:00,182130,DRUGS-POSSESSION/HEROIN                           ,868,WALL ST,Drug Possession,38.719464,-90.2312021
20-056900,9/18/2020 12:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,324,JANUARY,Larceny,38.6270025,-90.1994042
20-056216,9/18/2020 17:00,69702,LARCENY-ALL OTHER UNDER $500                      ,434,MARYLAND,Larceny,38.6433268,-90.2547169
20-055079,9/21/2020 12:00,101000,FORGERY                                           ,4552,CARTER,Other Crime,38.6748026,-90.2258925
20-052668,9/23/2020 0:01,121000,EMBEZZLEMENT-VALUE OVER $150                      ,314,OLIVE ST,Other Crime,38.6355848,-90.2250112
20-043283,9/23/2020 2:06,51330,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY          ,5611,MIMIKA AVE,Burglary,38.7072558,-90.2556302
20-057366,9/23/2020 13:30,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,7719,IVORY,Larceny,38.6270025,-90.1994042
02-043618,9/25/2020 15:50,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3649,WISCONSIN,Simple Assault,38.5922574,-90.2210113
02-043618,9/25/2020 15:50,91123,SIMPLE ASSAULT-CHILD/NO INJURY                    ,3649,WISCONSIN,Simple Assault,38.5922574,-90.2210113
20-044156,9/28/2020 21:33,71030,AUTO THEFT-PERM RETNT/JOY RIDE                    ,nan,,Motor Vehicle Theft,38.6270025,-90.1994042
20-044156,9/28/2020 21:33,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,nan,,Motor Vehicle Theft,38.6270025,-90.1994042
20-055789,9/30/2020 11:00,69702,LARCENY-ALL OTHER UNDER $500                      ,4345,TAFT,Larceny,38.5802963,-90.2541449
20-056477,10/1/2020 0:01,91123,SIMPLE ASSAULT-CHILD/NO INJURY                    ,8506,BROADWAY,Simple Assault,38.5431081,-90.262614
20-055912,10/1/2020 8:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,2615,WASHINGTON,Larceny,38.6487895,-90.3107962
20-058398,10/1/2020 10:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,3407,JEFFERSON,Larceny,38.6218094,-90.2187716
20-054997,10/1/2020 15:00,69602,"LARCENY-ALL OTHER $500 - $24,999                  ",5738,GOODFELLOW PL,Larceny,38.6819172,-90.2724796
20-056776,10/1/2020 17:00,66601,"LARCENY-BICYCLES $500 - $24,999                   ",4555,FOREST PARK,Larceny,38.6444901,-90.2831478
20-055561,10/3/2020 23:30,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4145,GRAND,Weapons Offense,38.598089,-90.2429759
20-046385,10/4/2020 2:36,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5927,HIGHLAND,Weapons Offense,38.6679707,-90.2575983
20-046406,10/10/2020 0:24,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5863,COTE BRILLIANTE,Weapons Offense,38.6518211,-90.2299866
20-046483,10/11/2020 21:00,71030,AUTO THEFT-PERM RETNT/JOY RIDE                    ,104,RUSSELL,Motor Vehicle Theft,38.5867139,-90.2844396
20-046483,10/11/2020 21:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,104,RUSSELL,Motor Vehicle Theft,38.5867139,-90.2844396
20-046364,10/12/2020 7:00,265321,LEAVING SCENE OF ACCIDENT                         ,nan,,Other Crime,38.6270025,-90.1994042
20-058379,10/12/2020 12:00,92000,SIMPLE ASSAULT-HARRASSMENT                        ,8022,BROADWAY,Simple Assault,38.5431081,-90.262614
20-056581,10/12/2020 15:00,67601,"LARCENY-FROM BUILDING $500 - $24,999              ",23,MARCONI,Larceny,38.6157236,-90.2728666
20-056008,10/13/2020 4:45,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,515,OLIVE,Larceny,38.6270025,-90.1994042
20-046928,10/15/2020 1:00,38111,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,nan,,Armed Robbery,38.6270025,-90.1994042
20-047029,10/15/2020 16:30,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",6,N KINGSHIGHWAY BLVD,Other Crime,38.6688592,-90.2570703
20-047088,10/16/2020 9:15,182400,DRUGS-POSSESSION/MARIJUANA                        ,4145,N GRAND BLVD,Drug Possession,38.6517295,-90.2234957
20-047336,10/18/2020 1:30,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,2613,RUTGER,Simple Assault,38.6159326,-90.2065131
20-047336,10/18/2020 1:30,67601,"LARCENY-FROM BUILDING $500 - $24,999              ",2613,RUTGER,Larceny,38.6159326,-90.2065131
20-047700,10/20/2020 11:15,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",1312,BELT AVE,Other Crime,38.6656895,-90.2742687
20-056401,10/21/2020 1:05,63701,LARCENY-SHOPLIFT UNDER $500                       ,745,HAMPTON,Larceny,38.5989644,-90.2924434
20-057453,10/22/2020 13:00,69702,LARCENY-ALL OTHER UNDER $500                      ,5644,ENRIGHT,Larceny,38.6531035,-90.2669372
20-058239,10/23/2020 9:55,69702,LARCENY-ALL OTHER UNDER $500                      ,3302,KEOKUK,Larceny,38.6270025,-90.1994042
20-055305,10/24/2019 12:00,52322,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE    ,4512,SHENANDOAH,Burglary,38.6090139,-90.2339175
20-048554,10/26/2020 7:30,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",7525,S BROADWAY,Other Crime,38.577069,-90.2321615
20-048725,10/27/2020 7:00,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG                 ,3724,PALM ST,Drug Possession,38.6647581,-90.2271433
20-057312,10/30/2020 15:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1327,HAMPTON,Destruction of Property,38.5989644,-90.2924434
20-057461,10/31/2020 9:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2527,BACON,Motor Vehicle Theft,38.6270025,-90.1994042
20-055648,10/31/2020 9:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,2225,INDIANA,Larceny,38.6270025,-90.1994042
20-055663,11/1/2003 13:00,21000,RAPE -- FORCIBLE                                  ,43,LOUISIANA,Rape,38.5896272,-90.2402664
20-055663,11/1/2003 13:00,21000,RAPE -- FORCIBLE                                  ,43,LOUISIANA,Rape,38.5896272,-90.2402664
20-056434,11/1/2020 0:00,265321,LEAVING SCENE OF ACCIDENT                         ,5045,CHIPPEWA,Other Crime,38.6270025,-90.1994042
20-054701,11/1/2020 8:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,5931,CORONADO AVE,Larceny,38.5665897,-90.2676761
20-054517,11/1/2020 12:00,115400,STLG BY DECEIT/IDENTITY THEFT REPORT              ,4225,E FINNEY AVE,Other Crime,38.6488627,-90.2399651
20-054268,11/2/2020 9:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",4548,GRAVOIS AVE,Larceny,38.5895694,-90.255657
20-049954,11/3/2020 11:19,81000,ARSON-1ST DEGREE/SUCCESS                          ,2909,GRAVOIS AVE,Arson,38.5895694,-90.255657
20-053511,11/3/2020 16:00,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",935,LASALLE PARK CT,Other Crime,38.6169787,-90.2002646
20-055877,11/3/2020 20:32,69602,"LARCENY-ALL OTHER $500 - $24,999                  ",231,MCCAUSLAND,Larceny,38.6087681,-90.3111937
20-056149,11/5/2020 0:01,264100,HEALTH-SANITATION VIOL                            ,5822,MCPHERSON,Other Crime,38.644206,-90.2513532
20-050341,11/5/2020 18:40,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,4981,MARDEL AVE,Weapons Offense,38.5952914,-90.2957326
